事發時間,海外港人,背景,香港國安帶走的親友,事件後續
2023年7月,羅冠聰,前立法會議員、雨傘運動「雙學三子」，赴英後持續遊說國際制裁港府,父母、兄長,問話後獲准離開
2023年7月,蒙兆達,前香港職工會聯盟（職工盟）總幹事，赴英後創辦「香港勞權監察」,兄長、嫂嫂、姪子,問話後獲准離開
2023年7月,郭榮鏗,大律師、前公民黨成員、前香港立法會法律界功能界別議員，赴美後從事法律及學術工作,父母、兄長、嫂嫂,問話後獲准離開
2023年7月,袁弓夷,電子業公司創辦人、時事評論人，在海外籌組「香港議會」,前妻、4名兒女、兒媳,問話後獲准離開
2023年8月,郭鳳儀,前G20登報團隊成員，現為香港民主委員會（HKDC）執行總監,父母、兄長,問話後獲准離開
2023年9月,許智峯,前民主黨立法會議員、區議員，現為澳洲執業律師,岳父母、妻子的大哥,問話後獲准離開
2023年12月,許穎婷,前學民思潮成員、「We The Hongkongers」發起人，現為香港自由委員會基金會（CFHK）政策及倡議主任,母親,問話後獲准離開
2024年1月,鄭文傑,前英國駐香港總領事館員工，2019年在香港西九龍高鐵站被中國公安拘捕，流亡英國後創辦「英國港僑協會」,父母、2名姊姊,問話後獲准離開
2025年1月,鍾劍華,前香港理工大學助理教授、前香港民意研究所副行政總裁，離港後發起「海內外香港人民意研究計劃」,弟妹等親屬、前同事，累計8人,問話後獲准離開
2025年2月,劉珈汶,前黃大仙區議員，現為香港民主委員會（HKDC）諮詢顧問,2名姑姑、姑丈,問話後獲准離開
2025年3月,鍾翰林,前「學生動源」召集人曾因國安法遭關押，獲釋後輾轉流亡英國,繼父,問話後獲准離開
2025年4月,許穎婷,前學民思潮成員、「We The Hongkongers」發起人，現為香港自由委員會基金會（CFHK）政策及倡議主任,父母,問話後獲准離開
2025年4月,郭鳳儀,前G20登報團隊統籌，現為香港民主委員會（HKDC）主席,父親、兄長,拘捕2人，68歲父親遭起訴並判刑、35歲兄長保釋候查
2025年8月,姜嘉偉,自媒體經營者，曾參與海外「香港議會」選舉,生父丶妻子及女兒,問話後獲准離開
2025年8月,錢寶芬,香港退休公務員、前「人民力量」成員，曾參與海外「香港議會」選舉,妹妹,問話後獲准離開
2025年9月,吳文君,曾參與海外「香港議會」選舉,父親,問話後獲准離開
